Tenor,OIS,Discount Factor o
0.5,0.0025,0.99875
1.0,0.003,0.997
2.0,0.00325,0.9935307749813107
3.0,0.00335,0.9900151710806923
4.0,0.0035,0.9861166808059622
5.0,0.0036,0.9821841515975243
6.0,0.003831332469219673,0.9772949806610598
7.0,0.004,0.9724058097245954
8.0,0.004204511351241017,0.966929512329251
9.0,0.004366952470788402,0.9614532149339067
10.0,0.0045,0.9559769175385621
11.0,0.004630130003675153,0.9503038384163374
12.0,0.0047413931745836115,0.9446307592941127
13.0,0.004838177881438669,0.938957680171888
14.0,0.004923615119625871,0.9332846010496633
15.0,0.005,0.9276115219274385
16.0,0.005058220646255819,0.9221044136125531
17.0,0.0051115876197816495,0.916597305297668
18.0,0.005160926855754201,0.9110901969827828
19.0,0.005206890400002797,0.9055830886678976
20.0,0.00525,0.9000759803530124
21.0,0.005278561616908848,0.8948090581914718
22.0,0.005306010618809559,0.8895421360299312
23.0,0.00533250379249992,0.8842752138683906
24.0,0.005358171909932197,0.87900829170685
25.0,0.005383125054467925,0.8737413695453095
26.0,0.005407456633354852,0.8684744473837687
27.0,0.005431246182791427,0.8632075252222281
28.0,0.0054545616172269355,0.8579406030606874
29.0,0.005477462591238674,0.8526736808991467
30.0,0.0055,0.8474067587376062
