start,tenor,fsr,PVBP,alpha,rho,nu
1,1,0.032006999121226,0.9944003027051416,0.14480415838402774,-0.6131207395278724,1.9591545147996863
1,2,0.0332592257503153,1.9852943450971756,0.18709533711654056,-0.5242856850998181,1.6500875713354248
1,3,0.0340107263249903,2.972385617688188,0.19943982502381813,-0.48691703627262517,1.416053326604029
1,5,0.0352554715326057,4.934070110223052,0.1788551663038741,-0.41934700158725885,1.0578925845946556
1,10,0.038427964224875,9.747887002311575,0.16896987739194635,-0.26183013592487714,0.8105004459743608
5,1,0.0392740369679809,0.9785172403061349,0.16471001020348558,-0.5735409146903929,1.319558180229552
5,2,0.0400748610939557,1.9521453080428213,0.19937157369780745,-0.5460805085919821,1.0610164862118858
5,3,0.0400722464579311,2.920443858620116,0.210301341941391,-0.5503543529617556,0.9385665634396453
5,5,0.0410932287665761,4.840612063706585,0.1870486107959253,-0.4949985346034437,0.6959943200261361
5,10,0.0436336455274824,9.542491609305204,0.1685867060112602,-0.39382861798919777,0.5719870255846178
10,1,0.0421892371403153,0.9517220686880736,0.17868301771871212,-0.549881457817379,1.012114096492204
10,2,0.0431157364031411,1.897771057591972,0.20013245293596924,-0.5583511524787923,0.9411734350858443
10,3,0.0440971249881395,2.838146966711696,0.21977652790867166,-0.5801824802778083,0.9028276379520963
10,5,0.0462490192095225,4.701879545598619,0.275243377455498,-0.6641402887661009,0.8835666762973043
10,10,0.0534575291437206,9.264214201574292,0.32056558968499616,-0.7125873968685402,0.7891027667967265
